TransactionID,Product
1,Cooking Oil
1,Eggs
1,Milk
1,Rice
1,Sugar
1,Tea
1,Vegetables
2,Bread
2,Eggs
2,Floor Cleaner
2,Fruits
2,Toilet Cleaner
2,Toothpaste
2,Vegetables
3,Biscuits
3,Fruits
3,Shampoo
3,Sugar
3,Tea
3,Toothpaste
3,Vegetables
4,Coffee
4,Cooking Oil
4,Rice
4,Wheat
5,Biscuits
5,Cooking Oil
5,Rice
5,Snacks
5,Sugar
5,Tea
6,Bread
6,Floor Cleaner
6,Fruits
6,Milk
6,Snacks
6,Toilet Cleaner
6,Vegetables
7,Bread
7,Coffee
7,Eggs
7,Sugar
8,Cooking Oil
8,Fruits
8,Rice
8,Sugar
8,Tea
8,Vegetables
9,Bread
9,Eggs
9,Fruits
9,Sugar
9,Tea
9,Vegetables
10,Eggs
10,Milk
10,Sugar
10,Tea
11,Coffee
11,Cooking Oil
11,Rice
11,Sugar
11,Tea
12,Biscuits
12,Bread
12,Cooking Oil
12,Milk
12,Rice
12,Snacks
12,Spices
13,Bread
13,Cooking Oil
13,Fruits
13,Milk
13,Rice
13,Toothpaste
13,Vegetables
14,Bread
14,Detergent
14,Dish Soap
14,Eggs
14,Shampoo
14,Toothpaste
15,Bread
15,Detergent
15,Dish Soap
15,Eggs
15,Milk
16,Coffee
16,Cooking Oil
16,Floor Cleaner
16,Rice
16,Spices
16,Sugar
16,Toilet Cleaner
17,Bread
17,Milk
17,Shampoo
17,Sugar
17,Tea
17,Toothpaste
18,Bread
18,Cooking Oil
18,Floor Cleaner
18,Rice
18,Shampoo
18,Toilet Cleaner
18,Toothpaste
19,Fruits
19,Vegetables
20,Cooking Oil
20,Eggs
20,Floor Cleaner
20,Milk
20,Rice
20,Toilet Cleaner
21,Biscuits
21,Bread
21,Coffee
21,Cooking Oil
21,Rice
21,Spices
21,Sugar
22,Detergent
22,Dish Soap
22,Shampoo
22,Toothpaste
23,Cooking Oil
23,Rice
23,Spices
24,Bread
24,Cooking Oil
24,Detergent
24,Dish Soap
24,Eggs
24,Milk
24,Rice
25,Fruits
25,Sugar
25,Tea
25,Vegetables
26,Coffee
26,Detergent
26,Dish Soap
26,Sugar
26,Tea
27,Bread
27,Cooking Oil
27,Eggs
27,Milk
27,Rice
28,Bread
28,Cooking Oil
28,Fruits
28,Milk
28,Rice
28,Spices
28,Vegetables
29,Shampoo
29,Sugar
29,Tea
29,Toothpaste
30,Cooking Oil
30,Detergent
30,Rice
30,Sugar
30,Tea
31,Detergent
31,Dish Soap
31,Eggs
31,Floor Cleaner
31,Sugar
31,Tea
31,Toilet Cleaner
32,Biscuits
32,Coffee
32,Fruits
32,Shampoo
32,Toothpaste
32,Vegetables
33,Bread
33,Cooking Oil
33,Detergent
33,Dish Soap
33,Milk
33,Rice
33,Vegetables
34,Detergent
34,Rice
34,Salt
34,Snacks
34,Sugar
35,Salt
35,Shampoo
35,Sugar
35,Tea
36,Biscuits
36,Bread
36,Coffee
36,Milk
36,Snacks
36,Sugar
37,Bread
37,Cooking Oil
37,Detergent
37,Dish Soap
37,Rice
37,Spices
38,Eggs
38,Fruits
38,Milk
38,Vegetables
39,Bread
39,Cooking Oil
39,Milk
39,Rice
39,Spices
40,Eggs
40,Fruits
40,Milk
40,Shampoo
40,Vegetables
41,Biscuits
41,Detergent
41,Dish Soap
41,Snacks
41,Sugar
41,Tea
42,Bread
42,Fruits
42,Milk
42,Rice
42,Sugar
42,Tea
42,Vegetables
43,Bread
43,Milk
43,Tea
44,Bread
44,Coffee
44,Milk
44,Spices
45,Bread
45,Cooking Oil
45,Eggs
45,Milk
45,Rice
45,Sugar
45,Tea
46,Cooking Oil
46,Detergent
46,Dish Soap
46,Rice
46,Shampoo
46,Toothpaste
47,Bread
47,Fruits
47,Milk
47,Tea
47,Vegetables
47,Wheat
48,Bread
48,Cooking Oil
48,Detergent
48,Dish Soap
48,Fruits
48,Rice
48,Vegetables
49,Cooking Oil
49,Detergent
49,Floor Cleaner
49,Fruits
49,Rice
49,Toilet Cleaner
49,Vegetables
50,Bread
50,Cooking Oil
50,Eggs
50,Rice
50,Sugar
50,Tea
51,Cooking Oil
51,Rice
51,Sugar
51,Tea
52,Bread
52,Coffee
52,Detergent
52,Dish Soap
52,Sugar
52,Tea
52,Toothpaste
53,Coffee
53,Cooking Oil
53,Rice
53,Sugar
54,Coffee
54,Detergent
54,Dish Soap
54,Eggs
54,Milk
54,Rice
54,Sugar
55,Cooking Oil
55,Floor Cleaner
55,Fruits
55,Milk
55,Spices
55,Toilet Cleaner
55,Vegetables
56,Cooking Oil
56,Fruits
56,Rice
56,Sugar
56,Tea
56,Vegetables
57,Bread
57,Detergent
57,Dish Soap
57,Milk
57,Rice
58,Cooking Oil
58,Fruits
58,Rice
58,Salt
58,Toothpaste
59,Bread
59,Coffee
59,Eggs
59,Milk
59,Sugar
60,Detergent
60,Dish Soap
60,Eggs
60,Fruits
60,Rice
60,Toilet Cleaner
60,Vegetables
61,Bread
61,Detergent
61,Dish Soap
61,Eggs
61,Milk
62,Bread
62,Cooking Oil
62,Milk
62,Rice
63,Detergent
63,Dish Soap
63,Fruits
63,Sugar
63,Tea
63,Vegetables
64,Biscuits
64,Cooking Oil
64,Rice
64,Snacks
64,Sugar
64,Tea
65,Cooking Oil
65,Rice
65,Spices
66,Bread
66,Fruits
66,Milk
66,Vegetables
67,Cooking Oil
67,Detergent
67,Dish Soap
67,Fruits
67,Rice
67,Toilet Cleaner
67,Vegetables
68,Biscuits
68,Bread
68,Dish Soap
68,Milk
68,Vegetables
69,Bread
69,Detergent
69,Dish Soap
69,Milk
70,Bread
70,Cooking Oil
70,Eggs
70,Rice
70,Shampoo
70,Toothpaste
71,Bread
71,Cooking Oil
71,Fruits
71,Milk
71,Rice
71,Toothpaste
71,Vegetables
72,Biscuits
72,Bread
72,Coffee
72,Eggs
72,Milk
72,Snacks
72,Sugar
73,Biscuits
73,Bread
73,Eggs
73,Milk
73,Shampoo
73,Snacks
73,Toothpaste
74,Bread
74,Coffee
74,Cooking Oil
74,Milk
74,Rice
74,Sugar
75,Cooking Oil
75,Milk
75,Rice
75,Sugar
75,Tea
76,Bread
76,Detergent
76,Dish Soap
76,Eggs
76,Milk
76,Shampoo
76,Toothpaste
77,Fruits
77,Shampoo
77,Toothpaste
77,Vegetables
78,Salt
78,Spices
78,Sugar
78,Tea
79,Bread
79,Cooking Oil
79,Milk
79,Rice
79,Shampoo
79,Spices
79,Toothpaste
80,Bread
80,Cooking Oil
80,Eggs
80,Rice
80,Spices
80,Sugar
80,Tea
81,Bread
81,Fruits
81,Milk
81,Shampoo
81,Toothpaste
81,Vegetables
82,Bread
82,Detergent
82,Dish Soap
82,Eggs
82,Sugar
82,Tea
83,Bread
83,Cooking Oil
83,Eggs
83,Rice
83,Spices
84,Biscuits
84,Bread
84,Fruits
84,Milk
84,Snacks
84,Vegetables
85,Milk
85,Shampoo
85,Snacks
85,Sugar
85,Tea
85,Toothpaste
85,Vegetables
86,Bread
86,Fruits
86,Milk
86,Sugar
86,Tea
86,Vegetables
87,Bread
87,Shampoo
88,Cooking Oil
88,Detergent
88,Dish Soap
88,Rice
88,Salt
89,Cooking Oil
89,Eggs
89,Milk
89,Rice
89,Sugar
89,Tea
90,Dish Soap
90,Eggs
90,Fruits
90,Milk
90,Snacks
90,Soap
91,Bread
91,Coffee
91,Floor Cleaner
91,Milk
91,Rice
91,Sugar
91,Toilet Cleaner
92,Bread
92,Cooking Oil
92,Milk
92,Rice
92,Spices
93,Bread
93,Detergent
93,Dish Soap
93,Milk
93,Sugar
94,Cooking Oil
94,Rice
94,Sugar
94,Tea
95,Cooking Oil
95,Rice
96,Bread
96,Eggs
96,Floor Cleaner
96,Milk
96,Shampoo
96,Toilet Cleaner
96,Toothpaste
97,Bread
97,Cooking Oil
97,Eggs
97,Floor Cleaner
97,Fruits
97,Spices
97,Toilet Cleaner
98,Coffee
98,Detergent
98,Dish Soap
98,Floor Cleaner
98,Sugar
98,Toilet Cleaner
99,Bread
99,Cooking Oil
99,Eggs
99,Fruits
99,Rice
99,Spices
99,Vegetables
100,Cooking Oil
100,Rice
100,Shampoo
100,Toothpaste
101,Biscuits
101,Bread
101,Cooking Oil
101,Eggs
101,Rice
101,Snacks
102,Bread
102,Eggs
102,Milk
102,Soap
102,Spices
103,Bread
103,Detergent
103,Dish Soap
103,Eggs
103,Milk
103,Sugar
103,Tea
104,Bread
104,Coffee
104,Eggs
104,Sugar
104,Tea
105,Biscuits
105,Bread
105,Fruits
105,Milk
105,Salt
106,Bread
106,Eggs
106,Milk
106,Sugar
106,Tea
107,Bread
107,Cooking Oil
107,Eggs
107,Milk
107,Rice
108,Biscuits
108,Fruits
108,Snacks
108,Sugar
108,Tea
108,Vegetables
109,Cooking Oil
109,Detergent
109,Dish Soap
109,Rice
110,Bread
110,Soap
111,Biscuits
111,Bread
111,Eggs
111,Milk
111,Snacks
112,Detergent
112,Dish Soap
112,Eggs
112,Floor Cleaner
112,Milk
112,Toilet Cleaner
113,Bread
113,Cooking Oil
113,Fruits
113,Milk
113,Vegetables
114,Detergent
114,Dish Soap
114,Shampoo
114,Toothpaste
115,Detergent
115,Dish Soap
115,Eggs
115,Milk
115,Rice
115,Shampoo
115,Toothpaste
116,Eggs
116,Milk
116,Shampoo
116,Toothpaste
117,Biscuits
117,Detergent
117,Dish Soap
117,Floor Cleaner
117,Toilet Cleaner
117,Vegetables
118,Biscuits
118,Detergent
118,Dish Soap
118,Eggs
118,Milk
118,Snacks
119,Cooking Oil
119,Detergent
119,Dish Soap
119,Rice
119,Soap
119,Toilet Cleaner
120,Cooking Oil
120,Detergent
120,Dish Soap
120,Rice
121,Shampoo
121,Toothpaste
122,Shampoo
122,Soap
122,Toothpaste
123,Bread
123,Detergent
123,Dish Soap
123,Milk
124,Bread
124,Cooking Oil
124,Floor Cleaner
124,Snacks
125,Coffee
125,Detergent
125,Dish Soap
125,Rice
125,Shampoo
125,Sugar
125,Toothpaste
126,Biscuits
126,Fruits
126,Shampoo
126,Snacks
126,Toothpaste
126,Vegetables
127,Eggs
127,Fruits
127,Milk
127,Vegetables
128,Cooking Oil
128,Rice
128,Shampoo
128,Spices
128,Toothpaste
129,Cooking Oil
129,Detergent
129,Dish Soap
129,Eggs
129,Milk
129,Rice
130,Detergent
130,Dish Soap
130,Fruits
130,Soap
130,Vegetables
131,Bread
131,Eggs
131,Fruits
131,Milk
131,Shampoo
131,Toothpaste
131,Vegetables
132,Bread
132,Detergent
132,Dish Soap
132,Milk
132,Rice
132,Snacks
